Problem Number	Title	Slug	Difficulty	"Tags"
99	Recover Binary Search Tree	recover-binary-search-tree	Medium	"Tree, Binary Search Tree, Recursion"
100	Same Tree	same-tree	Easy	"Tree, Binary Tree"
101	Symmetric Tree	symmetric-tree	Easy	"Tree, Binary Tree, Depth-First Search"
102	Binary Tree Level Order Traversal	binary-tree-level-order-traversal	Medium	"Tree, Breadth-First Search, Binary Tree"
103	Binary Tree Zigzag Level Order Traversal	binary-tree-zigzag-level-order-traversal	Medium	"Binary Tree, Breadth-First Search"
104	Maximum Depth of Binary Tree	maximum-depth-of-binary-tree	Easy	"Binary Tree, Depth-First Search, Recursion"
105	Construct Binary Tree from Preorder and Inorder Traversal	construct-binary-tree-from-preorder-and-inorder-traversal	Medium	"Binary Tree, Recursion"
106	Construct Binary Tree from Inorder and Postorder Traversal	construct-binary-tree-from-inorder-and-postorder-traversal	Medium	"Tree, Binary Tree, Recursion"
107	Binary Tree Level Order Traversal II	binary-tree-level-order-traversal-ii	Medium	"Binary Tree, Breadth-First Search, Tree"
108	Convert Sorted Array to Binary Search Tree	convert-sorted-array-to-binary-search-tree	Easy	"Binary Tree, Recursion, Divide and Conquer"
109	Convert Sorted List to Binary Search Tree	convert-sorted-list-to-binary-search-tree	Medium	"Linked List, Binary Search Tree, Recursion"
110	Balanced Binary Tree	balanced-binary-tree	Easy	"Tree, Binary Tree, Depth-First Search"
111	Minimum Depth of Binary Tree	minimum-depth-of-binary-tree	Easy	"Binary Tree, Depth-First Search, Breadth-First Search"
112	Path Sum	path-sum	Easy	"Tree, Binary Tree, Depth-First Search, Recursion"
113	Path Sum II	path-sum-ii	Medium	"Tree, Binary Tree, Depth-First Search, Backtracking"
114	Flatten Binary Tree to Linked List	flatten-binary-tree-to-linked-list	Medium	"Binary Tree, Tree, Recursion"
115	Distinct Subsequences	distinct-subsequences	Hard	"String, Dynamic Programming"
116	Populating Next Right Pointers in Each Node	populating-next-right-pointers-in-each-node	Medium	"Tree, Binary Tree, Depth-First Search, Breadth-First Search"
117	Populating Next Right Pointers in Each Node II	populating-next-right-pointers-in-each-node-ii	Medium	"Tree, Binary Tree, Breadth-First Search"
118	Pascal's Triangle	pascals-triangle	Easy	"Array, Mathematics"
119	Pascal's Triangle II	pascals-triangle-ii	Easy	"Array, Math, Dynamic Programming"
121	Best Time to Buy and Sell Stock	best-time-to-buy-and-sell-stock	Easy	"Array, Dynamic Programming, Greedy"
122	Best Time to Buy and Sell Stock II	best-time-to-buy-and-sell-stock-ii	Medium	"Array, Greedy, Dynamic Programming"
123	Best Time to Buy and Sell Stock III	best-time-to-buy-and-sell-stock-iii	Hard	"Dynamic Programming, Greedy"
124	Binary Tree Maximum Path Sum	binary-tree-maximum-path-sum	Hard	"Binary Tree, Dynamic Programming, Recursion"
125	Valid Palindrome	valid-palindrome	Easy	"String"
126	Word Ladder II	word-ladder-ii	Hard	"String, Breadth-First Search, Backtracking"
127	Word Ladder	word-ladder	Hard	"String, Breadth-First Search, Graph"
128	Longest Consecutive Sequence	longest-consecutive-sequence	Medium	"Array, Hash Table"
129	Sum Root to Leaf Numbers	sum-root-to-leaf-numbers	Medium	"Tree, Depth-First Search, Binary Tree"
130	Surrounded Regions	surrounded-regions	Medium	"Depth-First Search, Breadth-First Search, Matrix"
131	Palindrome Partitioning	palindrome-partitioning	Medium	"String, Backtracking"
132	Palindrome Partitioning II	palindrome-partitioning-ii	Hard	"String, Dynamic Programming, Backtracking"
133	Clone Graph	clone-graph	Medium	"Graph, Depth-First Search, Breadth-First Search"
134	Gas Station	gas-station	Medium	"Greedy, Array"
135	Candy	candy	Hard	"Greedy, Array"
136	Single Number	single-number	Easy	"Array, Hash Table"
137	Single Number II	single-number-ii	Medium	"Array, Bit Manipulation"
138	Copy List with Random Pointer	copy-list-with-random-pointer	Medium	"Linked List, Recursion"
139	Word Break	word-break	Medium	"String, Dynamic Programming, Backtracking"
140	Word Break II	word-break-ii	Hard	"String, Dynamic Programming, Backtracking"
141	Linked List Cycle	linked-list-cycle	Easy	"Linked List, Two Pointers"
142	Linked List Cycle II	linked-list-cycle-ii	Medium	"Linked List, Two Pointers"
143	Reorder List	reorder-list	Medium	"Linked List, Two Pointers, Recursion"
144	Binary Tree Preorder Traversal	binary-tree-preorder-traversal	Easy	"Tree, Binary Tree, Depth-First Search"
145	Binary Tree Postorder Traversal	binary-tree-postorder-traversal	Easy	"Tree, Binary Tree, Depth-First Search, Recursion"
146	LRU Cache	lru-cache	Medium	"Design, Hash Table, Linked List"
147	Insertion Sort List	insertion-sort-list	Medium	"Sorting, Linked List"
148	Sort List	sort-list	Medium	"Linked List, Sorting, Merge Sort"
149	Max Points on a Line	max-points-on-a-line	Hard	"Geometry, Hash Table, Math"
150	Evaluate Reverse Polish Notation	evaluate-reverse-polish-notation	Medium	"Stack, Math, Simulation"
152	Maximum Product Subarray	maximum-product-subarray	Medium	"Array, Dynamic Programming, Greedy"
153	Find Minimum in Rotated Sorted Array	find-minimum-in-rotated-sorted-array	Medium	"Array, Binary Search"
154	Find Minimum in Rotated Sorted Array II	find-minimum-in-rotated-sorted-array-ii	Hard	"Array, Binary Search"
155	Min Stack	min-stack	Medium	"Stack, Design"
156	Binary Tree Upside Down	binary-tree-upside-down	Medium	"Binary Tree, Tree, Recursion"
157	Read N Characters Given Read4	read-n-characters-given-read4	Easy	"String, Simulation"
158	Read N Characters Given read4 II - Call Multiple Times	read-n-characters-given-read4-ii-call-multiple-times	Hard	"String, Simulation"
159	Longest Substring with At Most Two Distinct Characters	longest-substring-with-at-most-two-distinct-characters	Medium	"String, Sliding Window"
160	Intersection of Two Linked Lists	intersection-of-two-linked-lists	Easy	"Linked List"
161	One Edit Distance	one-edit-distance	Medium	"String, Dynamic Programming"
162	Find Peak Element	find-peak-element	Medium	"Array, Binary Search"
163	Missing Ranges	missing-ranges	Easy	"Array, Simulation"
164	Maximum Gap	maximum-gap	Medium	"Array, Sorting"
165	Compare Version Numbers	compare-version-numbers	Medium	"String"
166	Fraction to Recurring Decimal	fraction-to-recurring-decimal	Medium	"Math, String"
167	Two Sum II - Input Array Is Sorted	two-sum-ii-input-array-is-sorted	Medium	"Array, Two Pointers"
168	Excel Sheet Column Title	excel-sheet-column-title	Easy	"Math"
169	Majority Element	majority-element	Easy	"Array, Counting"
170	Two Sum III - Data structure design	two-sum-iii-data-structure-design	Easy	"Design, Hash Table"
171	Excel Sheet Column Number	excel-sheet-column-number	Easy	"String, Math"
172	Factorial Trailing Zeroes	factorial-trailing-zeroes	Medium	"Math"
173	Binary Search Tree Iterator	binary-search-tree-iterator	Medium	"Binary Search Tree, Iterator, Tree"
174	Dungeon Game	dungeon-game	Hard	"Dynamic Programming, Recursion"
179	Largest Number	largest-number	Medium	"Sorting, Greedy"
186	Reverse Words in a String II	reverse-words-in-a-string-ii	Medium	"String"
187	Repeated DNA Sequences	repeated-dna-sequences	Medium	"String, Hash Table"
188	Best Time to Buy and Sell Stock IV	best-time-to-buy-and-sell-stock-iv	Hard	"Dynamic Programming, Array, Greedy"
190	Reverse Bits	reverse-bits	Easy	"Bit Manipulation"
191	Number of 1 Bits	number-of-1-bits	Easy	"Bit Manipulation"
198	House Robber	house-robber	Medium	"Dynamic Programming, Array"
199	Binary Tree Right Side View	binary-tree-right-side-view	Medium	"Binary Tree, Depth-First Search, Breadth-First Search"
200	Number of Islands	number-of-islands	Medium	"Matrix, Depth-First Search, Breadth-First Search, Graph"
201	Bitwise AND of Numbers Range	bitwise-and-of-numbers-range	Medium	"Bit Manipulation"
202	Happy Number	happy-number	Easy	"Math, Simulation"
203	Remove Linked List Elements	remove-linked-list-elements	Easy	"Linked List"
204	Count Primes	count-primes	Medium	"Math, Counting"
205	Isomorphic Strings	isomorphic-strings	Easy	"String, Hash Table"
206	Reverse Linked List	reverse-linked-list	Easy	"Linked List, Recursion"
207	Course Schedule	course-schedule	Medium	"Graph, Topological Sort"
208	Implement Trie (Prefix Tree)	implement-trie-prefix-tree	Medium	"Trie, String, Design"
209	Minimum Size Subarray Sum	minimum-size-subarray-sum	Medium	"Array, Sliding Window"
210	Course Schedule II	course-schedule-ii	Medium	"Graph, Topological Sort"
211	Design Add and Search Words Data Structure	design-add-and-search-words-data-structure	Medium	"Design, Trie"
212	Word Search II	word-search-ii	Hard	"Trie, Backtracking, Depth-First Search, String Matching"
213	House Robber II	house-robber-ii	Medium	"Dynamic Programming"
214	Shortest Palindrome	shortest-palindrome	Hard	"String, Dynamic Programming, String Matching"
215	Kth Largest Element in an Array	kth-largest-element-in-an-array	Medium	"Array, Sorting, Heap (Priority Queue)"
216	Combination Sum III	combination-sum-iii	Medium	"Backtracking, Enumeration"
217	Contains Duplicate	contains-duplicate	Easy	"Array, Hash Table"
218	The Skyline Problem	the-skyline-problem	Hard	"Simulation, Heap (Priority Queue), Binary Search"
219	Contains Duplicate II	contains-duplicate-ii	Easy	"Array, Hash Table, Sliding Window"
220	Contains Duplicate III	contains-duplicate-iii	Hard	"Array, Hash Table, Sliding Window"
221	Maximal Square	maximal-square	Medium	"Matrix, Dynamic Programming"
222	Count Complete Tree Nodes	count-complete-tree-nodes	Easy	"Tree, Binary Tree"
223	Rectangle Area	rectangle-area	Medium	"Geometry"
224	Basic Calculator	basic-calculator	Hard	"String, Simulation, Recursion"
225	Implement Stack using Queues	implement-stack-using-queues	Easy	"Stack, Queue"
226	Invert Binary Tree	invert-binary-tree	Easy	"Binary Tree, Tree, Depth-First Search"
227	Basic Calculator II	basic-calculator-ii	Medium	"String, Simulation, Math"
228	Summary Ranges	summary-ranges	Easy	"Array, String"
229	Majority Element II	majority-element-ii	Medium	"Array"
230	Kth Smallest Element in a BST	kth-smallest-element-in-a-bst	Medium	"Binary Search Tree, Tree, Binary Search"
231	Power of Two	power-of-two	Easy	"Math"
232	Implement Queue using Stacks	implement-queue-using-stacks	Easy	"Stack, Queue"
233	Number of Digit One	number-of-digit-one	Hard	"Math, Dynamic Programming"
234	Palindrome Linked List	palindrome-linked-list	Easy	"Linked List, Two Pointers, Stack"
235	Lowest Common Ancestor of a Binary Search Tree	lowest-common-ancestor-of-a-binary-search-tree	Medium	"Binary Search Tree, Tree"
236	Lowest Common Ancestor of a Binary Tree	lowest-common-ancestor-of-a-binary-tree	Medium	"Binary Tree, Tree, Depth-First Search"
237	Delete Node in a Linked List	delete-node-in-a-linked-list	Medium	"Linked List"
238	Product of Array Except Self	product-of-array-except-self	Medium	"Array, Math"
239	Sliding Window Maximum	sliding-window-maximum	Hard	"Array, Sliding Window, Deque"
240	Search a 2D Matrix II	search-a-2d-matrix-ii	Medium	"Array, Binary Search, Matrix"
241	Different Ways to Add Parentheses	different-ways-to-add-parentheses	Medium	"Recursion, Dynamic Programming, Enumeration"
242	Valid Anagram	valid-anagram	Easy	"String, Hash Table"
243	Shortest Word Distance	shortest-word-distance	Easy	"String, Hash Table"
244	Shortest Word Distance II	shortest-word-distance-ii	Medium	"String, Hash Table"
245	Shortest Word Distance III	shortest-word-distance-iii	Medium	"Array, String, Hash Table"
246	Strobogrammatic Number	strobogrammatic-number	Easy	"String"
247	Strobogrammatic Number II	strobogrammatic-number-ii	Medium	"String, Enumeration"
248	Strobogrammatic Number III	strobogrammatic-number-iii	Hard	"String, Enumeration"
249	Group Shifted Strings	group-shifted-strings	Medium	"String, Hash Table"
250	Count Univalue Subtrees	count-univalue-subtrees	Medium	"Tree, Binary Tree, Recursion"
251	Flatten 2D Vector	flatten-2d-vector	Medium	"Array, Iterator, Design"
252	Meeting Rooms	meeting-rooms	Easy	"Sorting, Greedy"
253	Meeting Rooms II	meeting-rooms-ii	Medium	"Greedy, Sorting, Heap (Priority Queue)"
254	Factor Combinations	factor-combinations	Medium	"Backtracking, Enumeration"
255	Verify Preorder Sequence in Binary Search Tree	verify-preorder-sequence-in-binary-search-tree	Medium	"Binary Tree, Recursion"
256	Paint House	paint-house	Medium	"Dynamic Programming"
257	Binary Tree Paths	binary-tree-paths	Easy	"Tree, Binary Tree, Depth-First Search"
258	Add Digits	add-digits	Easy	"Math"
259	3Sum Smaller	3sum-smaller	Medium	"Array, Two Pointers, Sorting"
260	Single Number III	single-number-iii	Medium	"Array, Bit Manipulation"
261	Graph Valid Tree	graph-valid-tree	Medium	"Graph, Union Find, Depth-First Search"
263	Ugly Number	ugly-number	Easy	"Math"
264	Ugly Number II	ugly-number-ii	Medium	"Math, Dynamic Programming, Heap (Priority Queue)"
265	Paint House II	paint-house-ii	Hard	"Dynamic Programming, Array"
267	Palindrome Permutation II	palindrome-permutation-ii	Medium	"String, Backtracking, Enumeration"
268	Missing Number	missing-number	Easy	"Array, Math"
269	Alien Dictionary	alien-dictionary	Hard	"Graph, Topological Sort"
270	Closest Binary Search Tree Value	closest-binary-search-tree-value	Easy	"Binary Search Tree, Tree, Binary Search"
271	Encode and Decode Strings	encode-and-decode-strings	Medium	"String, Design"
272	Closest Binary Search Tree Value II	closest-binary-search-tree-value-ii	Hard	"Binary Search Tree, Tree, Depth-First Search"
273	Integer to English Words	integer-to-english-words	Hard	"Math, String"
275	H-Index II	h-index-ii	Medium	"Array, Binary Search"
276	Paint Fence	paint-fence	Medium	"Dynamic Programming"
277	Find the Celebrity	find-the-celebrity	Medium	"Graph, Simulation"
278	First Bad Version	first-bad-version	Easy	"Binary Search"
279	Perfect Squares	perfect-squares	Medium	"Math, Dynamic Programming, Greedy"
280	Wiggle Sort	wiggle-sort	Medium	"Array, Sorting, Greedy"
281	Zigzag Iterator	zigzag-iterator	Medium	"Iterator, Array"
282	Expression Add Operators	expression-add-operators	Hard	"String, Backtracking"
283	Move Zeroes	move-zeroes	Easy	"Array, Two Pointers, Simulation"
284	Peeking Iterator	peeking-iterator	Medium	"Iterator, Design"
285	Inorder Successor in BST	inorder-successor-in-bst	Medium	"Binary Search Tree, Tree"
286	Walls and Gates	walls-and-gates	Medium	"Matrix, Breadth-First Search"
287	Find the Duplicate Number	find-the-duplicate-number	Medium	"Array, Hash Table, Bit Manipulation, Sorting"
288	Unique Word Abbreviation	unique-word-abbreviation	Medium	"String, Hash Table"
289	Game of Life	game-of-life	Medium	"Array, Simulation"
290	Word Pattern	word-pattern	Easy	"String, Hash Table"
291	Word Pattern II	word-pattern-ii	Medium	"String, Backtracking"
292	Nim Game	nim-game	Easy	"Game Theory"
293	Flip Game	flip-game	Easy	"String, Dynamic Programming, Backtracking"
294	Flip Game II	flip-game-ii	Medium	"String, Dynamic Programming, Backtracking"
295	Find Median from Data Stream	find-median-from-data-stream	Hard	"Heap (Priority Queue), Data Stream"
296	Best Meeting Point	best-meeting-point	Hard	"Matrix, Greedy, Brainteaser"
297	Serialize and Deserialize Binary Tree	serialize-and-deserialize-binary-tree	Hard	"Tree, Binary Tree, Serialization, Deserialization"
298	Binary Tree Longest Consecutive Sequence	binary-tree-longest-consecutive-sequence	Medium	"Binary Tree, Depth-First Search"
299	Bulls and Cows	bulls-and-cows	Medium	"String, Hash Table, Brainteaser"
300	Longest Increasing Subsequence	longest-increasing-subsequence	Medium	"Dynamic Programming, Binary Search"
301	Remove Invalid Parentheses	remove-invalid-parentheses	Hard	"String, Backtracking"
302	Smallest Rectangle Enclosing Black Pixels	smallest-rectangle-enclosing-black-pixels	Hard	"Matrix, Binary Search, Depth-First Search"
303	Range Sum Query - Immutable	range-sum-query-immutable	Easy	"Array, Prefix Sum"
304	Range Sum Query 2D - Immutable	range-sum-query-2d-immutable	Medium	"Array, Matrix, Prefix Sum"
305	Number of Islands II	number-of-islands-ii	Hard	"Union Find, Grid, Depth-First Search, Breadth-First Search"
306	Additive Number	additive-number	Medium	"String, Recursion, Backtracking"
307	Range Sum Query - Mutable	range-sum-query-mutable	Medium	"Array, Dynamic Programming, Segment Tree"
308	Range Sum Query 2D - Mutable	range-sum-query-2d-mutable	Medium	"Matrix, Binary Indexed Tree, Segment Tree"
309	Best Time to Buy and Sell Stock with Cooldown	best-time-to-buy-and-sell-stock-with-cooldown	Medium	"Dynamic Programming, Array"
310	Minimum Height Trees	minimum-height-trees	Medium	"Graph, Tree, Breadth-First Search, Depth-First Search"
311	Sparse Matrix Multiplication	sparse-matrix-multiplication	Medium	"Matrix, Simulation"
312	Burst Balloons	burst-balloons	Hard	"Dynamic Programming, Greedy"
313	Super Ugly Number	super-ugly-number	Medium	"Math, Heap (Priority Queue), Dynamic Programming"
314	Binary Tree Vertical Order Traversal	binary-tree-vertical-order-traversal	Medium	"Tree, Binary Tree, Breadth-First Search"
315	Count of Smaller Numbers After Self	count-of-smaller-numbers-after-self	Hard	"Binary Indexed Tree, Binary Search, Sorting, Divide and Conquer"
316	Remove Duplicate Letters	remove-duplicate-letters	Medium	"String, Greedy, Stack"
317	Shortest Distance from All Buildings	shortest-distance-from-all-buildings	Hard	"Breadth-First Search, Matrix, Shortest Path"
318	Maximum Product of Word Lengths	maximum-product-of-word-lengths	Medium	"String, Bit Manipulation, Enumeration"
319	Bulb Switcher	bulb-switcher	Medium	"Math, Simulation"
320	Generalized Abbreviation	generalized-abbreviation	Medium	"String, Backtracking, Enumeration"
321	Create Maximum Number	create-maximum-number	Hard	"Greedy, Dynamic Programming, Array"
322	Coin Change	coin-change	Medium	"Dynamic Programming, Greedy"
323	Number of Connected Components in an Undirected Graph	number-of-connected-components-in-an-undirected-graph	Medium	"Graph, Depth-First Search, Breadth-First Search"
324	Wiggle Sort II	wiggle-sort-ii	Medium	"Sorting, Array, Greedy"
326	Power of Three	power-of-three	Easy	"Math"
327	Count of Range Sum	count-of-range-sum	Hard	"Array, Binary Indexed Tree, Divide and Conquer, Sorting"
328	Odd Even Linked List	odd-even-linked-list	Medium	"Linked List"
329	Longest Increasing Path in a Matrix	longest-increasing-path-in-a-matrix	Hard	"Matrix, Depth-First Search, Dynamic Programming"
330	Patching Array	patching-array	Hard	"Array, Greedy, Math"
331	Verify Preorder Serialization of a Binary Tree	verify-preorder-serialization-of-a-binary-tree	Medium	"Binary Tree, String"
332	Reconstruct Itinerary	reconstruct-itinerary	Hard	"Graph, Depth-First Search, Backtracking, Sorting"
333	Largest BST Subtree	largest-bst-subtree	Medium	"Binary Tree, Depth-First Search, Dynamic Programming"
334	Increasing Triplet Subsequence	increasing-triplet-subsequence	Medium	"Array, Dynamic Programming, Greedy"
335	Self Crossing	self-crossing	Hard	"Simulation"
337	House Robber III	house-robber-iii	Medium	"Tree, Dynamic Programming, Binary Tree"
338	Counting Bits	counting-bits	Easy	"Bit Manipulation, Dynamic Programming, Math"
339	Nested List Weight Sum	nested-list-weight-sum	Medium	"Depth-First Search, Recursion, Tree"
340	Longest Substring with At Most K Distinct Characters	longest-substring-with-at-most-k-distinct-characters	Medium	"String, Sliding Window"
341	Flatten Nested List Iterator	flatten-nested-list-iterator	Medium	"Iterator, Recursion, Stack"
342	Power of Four	power-of-four	Easy	"Math"
343	Integer Break	integer-break	Medium	"Math, Dynamic Programming"
344	Reverse String	reverse-string	Easy	"String, Recursion"
345	Reverse Vowels of a String	reverse-vowels-of-a-string	Easy	"String"
346	Moving Average from Data Stream	moving-average-from-data-stream	Easy	"Data Stream, Sliding Window, Queue"
347	Top K Frequent Elements	top-k-frequent-elements	Medium	"Array, Hash Table, Sorting"
348	Design Tic-Tac-Toe	design-tic-tac-toe	Medium	"Design, Simulation"
349	Intersection of Two Arrays	intersection-of-two-arrays	Easy	"Array, Hash Table"
350	Intersection of Two Arrays II	intersection-of-two-arrays-ii	Easy	"Array, Hash Table, Two Pointers"
351	Android Unlock Patterns	android-unlock-patterns	Medium	"Backtracking, Enumeration"
352	Data Stream as Disjoint Intervals	data-stream-as-disjoint-intervals	Hard	"Data Stream, Union Find, Design"
354	Russian Doll Envelopes	russian-doll-envelopes	Hard	"Dynamic Programming, Sorting"
355	Design Twitter	design-twitter	Medium	"Design, Database"
356	Line Reflection	line-reflection	Medium	"Geometry, Hash Table, Brainteaser"
357	Count Numbers with Unique Digits	count-numbers-with-unique-digits	Medium	"Math, Dynamic Programming, Enumeration"
358	Rearrange String k Distance Apart	rearrange-string-k-distance-apart	Hard	"String, Greedy, Heap (Priority Queue)"
359	Logger Rate Limiter	logger-rate-limiter	Easy	"Design"
360	Sort Transformed Array	sort-transformed-array	Medium	"Array, Sorting"
361	Bomb Enemy	bomb-enemy	Medium	"Matrix, Simulation, Greedy"
362	Design Hit Counter	design-hit-counter	Medium	"Design, Data Stream"
