Problem Number,Title,Slug,Internal ID,Difficulty,Paid Only,Favorite,Frequency
"3361","Shift Distance Between Two Strings","shift-distance-between-two-strings","3591","Medium","false","false","0"
"3279","Maximum Total Area Occupied by Pistons","maximum-total-area-occupied-by-pistons","3590","Hard","true","false","0"
"3320","Count The Number of Winning Sequences","count-the-number-of-winning-sequences","3588","Hard","false","false","0"
"3332","Maximum Points Tourist Can Earn","maximum-points-tourist-can-earn","3587","Medium","false","false","0"
"3269","Constructing Two Increasing Arrays","constructing-two-increasing-arrays","3586","Hard","true","false","0"
"3302","Find the Lexicographically Smallest Valid Sequence","find-the-lexicographically-smallest-valid-sequence","3584","Medium","false","false","0"
"3312","Sorted GCD Pair Queries","sorted-gcd-pair-queries","3583","Hard","false","false","0"
"3285","Find Indices of Stable Mountains","find-indices-of-stable-mountains","3582","Easy","false","false","0"
"3289","The Two Sneaky Numbers of Digitville","the-two-sneaky-numbers-of-digitville","3581","Easy","false","false","0"
"3303","Find the Occurrence of First Almost Equal Substring","find-the-occurrence-of-first-almost-equal-substring","3580","Hard","false","false","0"
"3309","Maximum Possible Number by Binary Concatenation","maximum-possible-number-by-binary-concatenation","3579","Medium","false","false","0"
"3311","Construct 2D Grid Matching Graph Layout","construct-2d-grid-matching-graph-layout","3578","Hard","false","false","0"
"3263","Convert Doubly Linked List to Array I","convert-doubly-linked-list-to-array-i","3577","Easy","true","false","0"
"3331","Find Subtree Sizes After Changes","find-subtree-sizes-after-changes","3576","Medium","false","false","0"
"3287","Find the Maximum Sequence Value of Array","find-the-maximum-sequence-value-of-array","3575","Hard","false","false","0"
"3297","Count Substrings That Can Be Rearranged to Contain a String I","count-substrings-that-can-be-rearranged-to-contain-a-string-i","3573","Medium","false","false","0"
"3298","Count Substrings That Can Be Rearranged to Contain a String II","count-substrings-that-can-be-rearranged-to-contain-a-string-ii","3572","Hard","false","false","0"
"3288","Length of the Longest Increasing Path","length-of-the-longest-increasing-path","3571","Hard","false","false","0"
"3305","Count of Substrings Containing Every Vowel and K Consonants I","count-of-substrings-containing-every-vowel-and-k-consonants-i","3570","Medium","false","false","0"
"3306","Count of Substrings Containing Every Vowel and K Consonants II","count-of-substrings-containing-every-vowel-and-k-consonants-ii","3569","Medium","false","false","0"
"3270","Find the Key of the Numbers","find-the-key-of-the-numbers","3568","Easy","false","false","0"
"3280","Convert Date to Binary","convert-date-to-binary","3567","Easy","false","false","0"
"3324","Find the Sequence of Strings Appeared on the Screen","find-the-sequence-of-strings-appeared-on-the-screen","3566","Medium","false","false","0"
"3323","Minimize Connected Groups by Inserting Interval","minimize-connected-groups-by-inserting-interval","3565","Medium","true","false","0"
"3276","Select Cells in Grid With Maximum Score","select-cells-in-grid-with-maximum-score","3563","Hard","false","false","0"
"3310","Remove Methods From Project","remove-methods-from-project","3561","Medium","false","false","0"
"3283","Maximum Number of Moves to Kill All Pawns","maximum-number-of-moves-to-kill-all-pawns","3560","Hard","false","false","0"
"3291","Minimum Number of Valid Strings to Form Target I","minimum-number-of-valid-strings-to-form-target-i","3559","Medium","false","false","0"
"3286","Find a Safe Walk Through a Grid","find-a-safe-walk-through-a-grid","3558","Medium","false","false","0"
"3292","Minimum Number of Valid Strings to Form Target II","minimum-number-of-valid-strings-to-form-target-ii","3557","Hard","false","false","0"
"3266","Final Array State After K Multiplication Operations II","final-array-state-after-k-multiplication-operations-ii","3556","Hard","false","false","0"
"3264","Final Array State After K Multiplication Operations I","final-array-state-after-k-multiplication-operations-i","3555","Easy","false","false","0"
"3274","Check if Two Chessboard Squares Have the Same Color","check-if-two-chessboard-squares-have-the-same-color","3553","Easy","false","false","0"
"3260","Find the Largest Palindrome Divisible by K","find-the-largest-palindrome-divisible-by-k","3552","Hard","false","false","0"
"3277","Maximum XOR Score Subarray Queries","maximum-xor-score-subarray-queries","3551","Hard","false","false","0"
"3256","Maximum Value Sum by Placing Three Rooks I","maximum-value-sum-by-placing-three-rooks-i","3550","Hard","false","false","0"
"3272","Find the Count of Good Integers","find-the-count-of-good-integers","3548","Hard","false","false","0"
"3261","Count Substrings That Satisfy K-Constraint II","count-substrings-that-satisfy-k-constraint-ii","3546","Hard","false","false","0"
"3231","Minimum Number of Increasing Subsequence to Be Removed","minimum-number-of-increasing-subsequence-to-be-removed","3545","Hard","true","false","0"
"3267","Count Almost Equal Pairs II","count-almost-equal-pairs-ii","3544","Hard","false","false","0"
"3258","Count Substrings That Satisfy K-Constraint I","count-substrings-that-satisfy-k-constraint-i","3543","Easy","false","false","0"
"3257","Maximum Value Sum by Placing Three Rooks II","maximum-value-sum-by-placing-three-rooks-ii","3542","Hard","false","false","0"
"3295","Report Spam Message","report-spam-message","3541","Medium","false","false","0"
"3271","Hash Divided String","hash-divided-string","3540","Medium","false","false","0"
"3237","Alt and Tab Simulation","alt-and-tab-simulation","3538","Medium","true","false","0"
"3247","Number of Subsequences with Odd Sum","number-of-subsequences-with-odd-sum","3537","Medium","true","false","0"
"3251","Find the Count of Monotonic Pairs II","find-the-count-of-monotonic-pairs-ii","3536","Hard","false","false","0"
"3250","Find the Count of Monotonic Pairs I","find-the-count-of-monotonic-pairs-i","3535","Hard","false","false","0"
"3265","Count Almost Equal Pairs I","count-almost-equal-pairs-i","3534","Medium","false","false","0"
"3248","Snake in Matrix","snake-in-matrix","3533","Easy","false","false","0"
"3241","Time Taken to Mark All Nodes","time-taken-to-mark-all-nodes","3532","Hard","false","false","0"
"3273","Minimum Amount of Damage Dealt to Bob","minimum-amount-of-damage-dealt-to-bob","3531","Hard","false","false","0"
"3221","Maximum Array Hopping Score II","maximum-array-hopping-score-ii","3529","Medium","true","false","0"
"3282","Reach End of Array With Max Score","reach-end-of-array-with-max-score","3528","Medium","false","false","0"
"3245","Alternating Groups III","alternating-groups-iii","3527","Hard","false","false","0"
"3239","Minimum Number of Flips to Make Binary Grid Palindromic I","minimum-number-of-flips-to-make-binary-grid-palindromic-i","3526","Medium","false","false","0"
"3259","Maximum Energy Boost From Two Drinks","maximum-energy-boost-from-two-drinks","3525","Medium","false","false","0"
"3240","Minimum Number of Flips to Make Binary Grid Palindromic II","minimum-number-of-flips-to-make-binary-grid-palindromic-ii","3524","Medium","false","false","0"
"3255","Find the Power of K-Size Subarrays II","find-the-power-of-k-size-subarrays-ii","3523","Medium","false","false","0"
"3254","Find the Power of K-Size Subarrays I","find-the-power-of-k-size-subarrays-i","3522","Medium","false","false","0"
"3215","Count Triplets with Even XOR Set Bits II","count-triplets-with-even-xor-set-bits-ii","3521","Medium","true","false","0"
"3238","Find the Number of Winning Players","find-the-number-of-winning-players","3519","Easy","false","false","0"
"3290","Maximum Multiplication Score","maximum-multiplication-score","3518","Medium","false","false","0"
"3243","Shortest Distance After Road Addition Queries I","shortest-distance-after-road-addition-queries-i","3517","Medium","false","false","0"
"3242","Design Neighbor Sum Service","design-neighbor-sum-service","3516","Easy","false","false","0"
"3232","Find if Digit Game Can Be Won","find-if-digit-game-can-be-won","3515","Easy","false","false","0"
"3244","Shortest Distance After Road Addition Queries II","shortest-distance-after-road-addition-queries-ii","3514","Hard","false","false","0"
"3205","Maximum Array Hopping Score I","maximum-array-hopping-score-i","3513","Medium","true","false","0"
"3222","Find the Winning Player in Coin Game","find-the-winning-player-in-coin-game","3511","Easy","false","false","0"
"3301","Maximize the Total Height of Unique Towers","maximize-the-total-height-of-unique-towers","3510","Medium","false","false","0"
"3319","K-th Largest Perfect Subtree Size in Binary Tree","k-th-largest-perfect-subtree-size-in-binary-tree","3509","Medium","false","false","0"
"3226","Number of Bit Changes to Make Two Integers Equal","number-of-bit-changes-to-make-two-integers-equal","3508","Easy","false","false","0"
"3233","Find the Count of Numbers Which Are Not Special","find-the-count-of-numbers-which-are-not-special","3507","Medium","false","false","0"
"3199","Count Triplets with Even XOR Set Bits I","count-triplets-with-even-xor-set-bits-i","3506","Easy","true","false","0"
"3189","Minimum Moves to Get a Peaceful Board","minimum-moves-to-get-a-peaceful-board","3504","Medium","true","false","0"
"3325","Count Substrings With K-Frequency Characters I","count-substrings-with-k-frequency-characters-i","3502","Medium","false","false","0"
"3217","Delete Nodes From Linked List Present in Array","delete-nodes-from-linked-list-present-in-array","3501","Medium","false","false","0"
"3219","Minimum Cost for Cutting Cake II","minimum-cost-for-cutting-cake-ii","3500","Hard","false","false","0"
"3329","Count Substrings With K-Frequency Characters II","count-substrings-with-k-frequency-characters-ii","3499","Hard","true","false","0"
"3224","Minimum Array Changes to Make Differences Equal","minimum-array-changes-to-make-differences-equal","3498","Medium","false","false","0"
"3313","Find the Last Marked Nodes in Tree","find-the-last-marked-nodes-in-tree","3497","Hard","true","false","0"
"3296","Minimum Number of Seconds to Make Mountain Height Zero","minimum-number-of-seconds-to-make-mountain-height-zero","3496","Medium","false","false","0"
"3275","K-th Nearest Obstacle Queries","k-th-nearest-obstacle-queries","3495","Medium","false","false","0"
"3218","Minimum Cost for Cutting Cake I","minimum-cost-for-cutting-cake-i","3494","Medium","false","false","0"
"3228","Maximum Number of Operations to Move Ones to the End","maximum-number-of-operations-to-move-ones-to-the-end","3493","Medium","false","false","0"
"3212","Count Submatrices With Equal Frequency of X and Y","count-submatrices-with-equal-frequency-of-x-and-y","3492","Medium","false","false","0"
"3202","Find the Maximum Length of Valid Subsequence II","find-the-maximum-length-of-valid-subsequence-ii","3491","Medium","false","false","0"
"3201","Find the Maximum Length of Valid Subsequence I","find-the-maximum-length-of-valid-subsequence-i","3490","Medium","false","false","0"
"3183","The Number of Ways to Make the Sum","the-number-of-ways-to-make-the-sum","3489","Medium","true","false","0"
"3316","Find Maximum Removals From Source String","find-maximum-removals-from-source-string","3487","Medium","false","false","0"
"3249","Count the Number of Good Nodes","count-the-number-of-good-nodes","3486","Medium","false","false","0"
"3281","Maximize Score of Numbers in Ranges","maximize-score-of-numbers-in-ranges","3485","Medium","false","false","0"
"3216","Lexicographically Smallest String After a Swap","lexicographically-smallest-string-after-a-swap","3484","Easy","false","false","0"
"3208","Alternating Groups II","alternating-groups-ii","3483","Medium","false","false","0"
"3213","Construct String with Minimum Cost","construct-string-with-minimum-cost","3482","Hard","false","false","0"
"3253","Construct String with Minimum Cost (Easy)","construct-string-with-minimum-cost-easy","3480","Medium","true","false","0"
"3234","Count the Number of Substrings With Dominant Ones","count-the-number-of-substrings-with-dominant-ones","3479","Medium","false","false","0"
"3235","Check if the Rectangle Corner Is Reachable","check-if-the-rectangle-corner-is-reachable","3478","Hard","false","false","0"
"3192","Minimum Operations to Make Binary Array Elements Equal to One II","minimum-operations-to-make-binary-array-elements-equal-to-one-ii","3477","Medium","false","false","0"
"3190","Find Minimum Operations to Make All Elements Divisible by Three","find-minimum-operations-to-make-all-elements-divisible-by-three","3476","Easy","false","false","0"
"3191","Minimum Operations to Make Binary Array Elements Equal to One I","minimum-operations-to-make-binary-array-elements-equal-to-one-i","3475","Medium","false","false","0"
"3167","Better Compression of String","better-compression-of-string","3474","Medium","true","false","0"
"3173","Bitwise OR of Adjacent Elements","bitwise-or-of-adjacent-elements","3472","Easy","true","false","0"
"3194","Minimum Average of Smallest and Largest Elements","minimum-average-of-smallest-and-largest-elements","3471","Easy","false","false","0"
"3225","Maximum Score From Grid Operations","maximum-score-from-grid-operations","3470","Hard","false","false","0"
"3200","Maximum Height of a Triangle","maximum-height-of-a-triangle","3469","Easy","false","false","0"
"3210","Find the Encrypted String","find-the-encrypted-string","3468","Easy","false","false","0"
"3157","Find the Level of Tree with Minimum Sum","find-the-level-of-tree-with-minimum-sum","3467","Medium","true","false","0"
"3209","Number of Subarrays With AND Value of K","number-of-subarrays-with-and-value-of-k","3466","Hard","false","false","0"
"3196","Maximize Total Cost of Alternating Subarrays","maximize-total-cost-of-alternating-subarrays","3464","Medium","false","false","0"
"3206","Alternating Groups I","alternating-groups-i","3463","Easy","false","false","0"
"3227","Vowels Game in a String","vowels-game-in-a-string","3462","Medium","false","false","0"
"3195","Find the Minimum Area to Cover All Ones I","find-the-minimum-area-to-cover-all-ones-i","3461","Medium","false","false","0"
"3193","Count the Number of Inversions","count-the-number-of-inversions","3460","Hard","false","false","0"
"3197","Find the Minimum Area to Cover All Ones II","find-the-minimum-area-to-cover-all-ones-ii","3459","Hard","false","false","0"
"3155","Maximum Number of Upgradable Servers","maximum-number-of-upgradable-servers","3458","Medium","true","false","0"
"3176","Find the Maximum Length of a Good Subsequence I","find-the-maximum-length-of-a-good-subsequence-i","3456","Medium","false","false","0"
"3223","Minimum Length of String After Operations","minimum-length-of-string-after-operations","3455","Medium","false","false","0"
"3229","Minimum Operations to Make Array Equal to Target","minimum-operations-to-make-array-equal-to-target","3454","Hard","false","false","0"
"3211","Generate Binary Strings Without Adjacent Zeros","generate-binary-strings-without-adjacent-zeros","3453","Medium","false","false","0"
"3177","Find the Maximum Length of a Good Subsequence II","find-the-maximum-length-of-a-good-subsequence-ii","3452","Hard","false","false","0"
"3163","String Compression III","string-compression-iii","3451","Medium","false","false","0"
"3178","Find the Child Who Has the Ball After K Seconds","find-the-child-who-has-the-ball-after-k-seconds","3450","Easy","false","false","0"
"3141","Maximum Hamming Distances","maximum-hamming-distances","3449","Hard","true","false","0"
"3174","Clear Digits","clear-digits","3447","Easy","false","false","0"
"3162","Find the Number of Good Pairs I","find-the-number-of-good-pairs-i","3446","Easy","false","false","0"
"3170","Lexicographically Minimum String After Removing Stars","lexicographically-minimum-string-after-removing-stars","3445","Medium","false","false","0"
"3164","Find the Number of Good Pairs II","find-the-number-of-good-pairs-ii","3444","Medium","false","false","0"
"3181","Maximum Total Reward Using Operations II","maximum-total-reward-using-operations-ii","3443","Hard","false","false","0"
"3180","Maximum Total Reward Using Operations I","maximum-total-reward-using-operations-i","3442","Medium","false","false","0"
"3135","Equalize Strings by Adding or Removing Characters at Ends","equalize-strings-by-adding-or-removing-characters-at-ends","3441","Medium","true","false","0"
"3203","Find Minimum Diameter After Merging Two Trees","find-minimum-diameter-after-merging-two-trees","3439","Hard","false","false","0"
"3187","Peaks in Array","peaks-in-array","3438","Hard","false","false","0"
"3186","Maximum Total Damage With Spell Casting","maximum-total-damage-with-spell-casting","3437","Medium","false","false","0"
"3171","Find Subarray With Bitwise OR Closest to K","find-subarray-with-bitwise-or-closest-to-k","3436","Hard","false","false","0"
"3161","Block Placement Queries","block-placement-queries","3435","Hard","false","false","0"
"3160","Find the Number of Distinct Colors Among the Balls","find-the-number-of-distinct-colors-among-the-balls","3434","Medium","false","false","0"
"3125","Maximum Number That Makes Result of Bitwise AND Zero","maximum-number-that-makes-result-of-bitwise-and-zero","3433","Medium","true","false","0"
"3149","Find the Minimum Cost Array Permutation","find-the-minimum-cost-array-permutation","3431","Hard","false","false","0"
"3169","Count Days Without Meetings","count-days-without-meetings","3430","Medium","false","false","0"
"3151","Special Array I","special-array-i","3429","Easy","false","false","0"
"3158","Find the XOR of Numbers Which Appear Twice","find-the-xor-of-numbers-which-appear-twice","3428","Easy","false","false","0"
"3152","Special Array II","special-array-ii","3427","Medium","false","false","0"
"3168","Minimum Number of Chairs in a Waiting Room","minimum-number-of-chairs-in-a-waiting-room","3426","Easy","false","false","0"
"3119","Maximum Number of Potholes That Can Be Fixed","maximum-number-of-potholes-that-can-be-fixed","3425","Medium","true","false","0"
"3165","Maximum Sum of Subsequence With Non-adjacent Elements","maximum-sum-of-subsequence-with-non-adjacent-elements","3423","Hard","false","false","0"
"3179","Find the N-th Value After K Seconds","find-the-n-th-value-after-k-seconds","3422","Medium","false","false","0"
"3184","Count Pairs That Form a Complete Day I","count-pairs-that-form-a-complete-day-i","3421","Easy","false","false","0"
"3159","Find Occurrences of an Element in an Array","find-occurrences-of-an-element-in-an-array","3420","Medium","false","false","0"
"3143","Maximum Points Inside the Square","maximum-points-inside-the-square","3419","Medium","false","false","0"
"3185","Count Pairs That Form a Complete Day II","count-pairs-that-form-a-complete-day-ii","3418","Medium","false","false","0"
"3109","Find the Index of Permutation","find-the-index-of-permutation","3417","Medium","true","false","0"
"3153","Sum of Digit Differences of All Pairs","sum-of-digit-differences-of-all-pairs","3416","Medium","false","false","0"
"3142","Check if Grid Satisfies Conditions","check-if-grid-satisfies-conditions","3415","Easy","false","false","0"
"3154","Find Number of Ways to Reach the K-th Stair","find-number-of-ways-to-reach-the-k-th-stair","3414","Hard","false","false","0"
"3175","Find The First Player to win K Games in a Row","find-the-first-player-to-win-k-games-in-a-row","3413","Medium","false","false","0"
"3146","Permutation Difference between Two Strings","permutation-difference-between-two-strings","3412","Easy","false","false","0"
"3145","Find Products of Elements of Big Array","find-products-of-elements-of-big-array","3411","Hard","false","false","0"
"3104","Find Longest Self-Contained Substring","find-longest-self-contained-substring","3410","Hard","true","false","0"
"3120","Count the Number of Special Characters I","count-the-number-of-special-characters-i","3408","Easy","false","false","0"
"3130","Find All Possible Stable Binary Arrays II","find-all-possible-stable-binary-arrays-ii","3407","Hard","false","false","0"
"3129","Find All Possible Stable Binary Arrays I","find-all-possible-stable-binary-arrays-i","3406","Medium","false","false","0"
"3121","Count the Number of Special Characters II","count-the-number-of-special-characters-ii","3405","Medium","false","false","0"
"3122","Minimum Number of Operations to Satisfy Conditions","minimum-number-of-operations-to-satisfy-conditions","3404","Medium","false","false","0"
"3144","Minimum Substring Partition of Equal Character Frequency","minimum-substring-partition-of-equal-character-frequency","3403","Medium","false","false","0"
"3139","Minimum Cost to Equalize Array","minimum-cost-to-equalize-array","3402","Hard","false","false","0"
"3094","Guess the Number Using Bitwise Questions II","guess-the-number-using-bitwise-questions-ii","3401","Medium","true","false","0"
"3132","Find the Integer Added to Array II","find-the-integer-added-to-array-ii","3399","Medium","false","false","0"
"3127","Make a Square with the Same Color","make-a-square-with-the-same-color","3398","Easy","false","false","0"
"3131","Find the Integer Added to Array I","find-the-integer-added-to-array-i","3397","Easy","false","false","0"
"3136","Valid Word","valid-word","3396","Easy","false","false","0"
"3138","Minimum Length of Anagram Concatenation","minimum-length-of-anagram-concatenation","3395","Medium","false","false","0"
"3133","Minimum Array End","minimum-array-end","3394","Medium","false","false","0"
"3088","Make String Anti-palindrome","make-string-anti-palindrome","3393","Hard","true","false","0"
"3148","Maximum Difference Score in a Grid","maximum-difference-score-in-a-grid","3391","Medium","false","false","0"
"3111","Minimum Rectangles to Cover Points","minimum-rectangles-to-cover-points","3390","Medium","false","false","0"
"3112","Minimum Time to Visit Disappearing Nodes","minimum-time-to-visit-disappearing-nodes","3389","Medium","false","false","0"
"3128","Right Triangles","right-triangles","3388","Medium","false","false","0"
"3107","Minimum Operations to Make Median of Array Equal to K","minimum-operations-to-make-median-of-array-equal-to-k","3387","Medium","false","false","0"
"3123","Find Edges in Shortest Paths","find-edges-in-shortest-paths","3386","Hard","false","false","0"
"3078","Match Alphanumerical Pattern in Matrix I","match-alphanumerical-pattern-in-matrix-i","3385","Medium","true","false","0"
"3137","Minimum Number of Operations to Make Word K-Periodic","minimum-number-of-operations-to-make-word-k-periodic","3384","Medium","false","false","0"
"3147","Taking Maximum Energy From the Mystic Dungeon","taking-maximum-energy-from-the-mystic-dungeon","3383","Medium","false","false","0"
"3113","Find the Number of Subarrays Where Boundary Elements Are Maximum","find-the-number-of-subarrays-where-boundary-elements-are-maximum","3382","Hard","false","false","0"
"3095","Shortest Subarray With OR at Least K I","shortest-subarray-with-or-at-least-k-i","3381","Easy","false","false","0"
"3097","Shortest Subarray With OR at Least K II","shortest-subarray-with-or-at-least-k-ii","3380","Medium","false","false","0"
"3110","Score of a String","score-of-a-string","3379","Easy","false","false","0"
"3073","Maximum Increasing Triplet Value","maximum-increasing-triplet-value","3378","Medium","true","false","0"
"3093","Longest Common Suffix Queries","longest-common-suffix-queries","3376","Hard","false","false","0"
"3116","Kth Smallest Amount With Single Denomination Combination","kth-smallest-amount-with-single-denomination-combination","3375","Hard","false","false","0"
"3101","Count Alternating Subarrays","count-alternating-subarrays","3374","Medium","false","false","0"
"3115","Maximum Prime Difference","maximum-prime-difference","3373","Medium","false","false","0"
"3105","Longest Strictly Increasing or Strictly Decreasing Subarray","longest-strictly-increasing-or-strictly-decreasing-subarray","3372","Easy","false","false","0"
"3099","Harshad Number","harshad-number","3371","Easy","false","false","0"
"3064","Guess the Number Using Bitwise Questions I","guess-the-number-using-bitwise-questions-i","3370","Medium","true","false","0"
"3062","Winner of the Linked List Game","winner-of-the-linked-list-game","3368","Easy","true","false","0"
"3079","Find the Sum of Encrypted Integers","find-the-sum-of-encrypted-integers","3367","Easy","false","false","0"
"3117","Minimum Sum of Values by Dividing Array","minimum-sum-of-values-by-dividing-array","3364","Hard","false","false","0"
"3092","Most Frequent IDs","most-frequent-ids","3363","Medium","false","false","0"
"3134","Find the Median of the Uniqueness Array","find-the-median-of-the-uniqueness-array","3362","Hard","false","false","0"
"3114","Latest Time You Can Obtain After Replacing Characters","latest-time-you-can-obtain-after-replacing-characters","3361","Easy","false","false","0"
"3085","Minimum Deletions to Make String K-Special","minimum-deletions-to-make-string-k-special","3360","Medium","false","false","0"
"3063","Linked List Frequency","linked-list-frequency","3359","Easy","true","false","0"
"3076","Shortest Uncommon Substring in an Array","shortest-uncommon-substring-in-an-array","3356","Medium","false","false","0"
"3096","Minimum Levels to Gain More Points","minimum-levels-to-gain-more-points","3355","Medium","false","false","0"
"3081","Replace Question Marks in String to Minimize Its Value","replace-question-marks-in-string-to-minimize-its-value","3354","Medium","false","false","0"
"3083","Existence of a Substring in a String and Its Reverse","existence-of-a-substring-in-a-string-and-its-reverse","3353","Easy","false","false","0"
"3037","Find Pattern in Infinite Stream II","find-pattern-in-infinite-stream-ii","3352","Hard","true","false","0"
"3075","Maximize Happiness of Selected Children","maximize-happiness-of-selected-children","3351","Medium","false","false","0"
"3072","Distribute Elements Into Two Arrays II","distribute-elements-into-two-arrays-ii","3350","Hard","false","false","0"
"3090","Maximum Length Substring With Two Occurrences","maximum-length-substring-with-two-occurrences","3349","Easy","false","false","0"
"3108","Minimum Cost Walk in Weighted Graph","minimum-cost-walk-in-weighted-graph","3348","Hard","false","false","0"
"3069","Distribute Elements Into Two Arrays I","distribute-elements-into-two-arrays-i","3347","Easy","false","false","0"
"3106","Lexicographically Smallest String After Operations With Constraint","lexicographically-smallest-string-after-operations-with-constraint","3346","Medium","false","false","0"
"3082","Find the Sum of the Power of All Subsequences","find-the-sum-of-the-power-of-all-subsequences","3345","Hard","false","false","0"
"3102","Minimize Manhattan Distances","minimize-manhattan-distances","3344","Hard","false","false","0"
