Problem Number,Title,Slug,Difficulty,Tags,Official Tags
22,Generate Parentheses,generate-parentheses,Medium,Backtracking,"String, Dynamic Programming, Backtracking"
23,Merge k Sorted Lists,merge-k-sorted-lists,Hard,"Linked List, Merge Sort, Heap (Priority Queue)","Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
24,Swap Nodes in Pairs,swap-nodes-in-pairs,Medium,Linked List,"Linked List, Recursion"
25,Reverse Nodes in k-Group,reverse-nodes-in-k-group,Hard,"Linked List, Recursion","Linked List, Recursion"
26,Remove Duplicates from Sorted Array,remove-duplicates-from-sorted-array,Easy,"Array, Two Pointers","Array, Two Pointers"
27,Remove Element,remove-element,Easy,"Array, Two Pointers","Array, Two Pointers"
28,Find the Index of the First Occurrence in a String,find-the-index-of-the-first-occurrence-in-a-string,Easy,"String, String Matching","Two Pointers, String, String Matching"
29,Divide Two Integers,divide-two-integers,Medium,Math,"Math, Bit Manipulation"
30,Substring with Concatenation of All Words,substring-with-concatenation-of-all-words,Hard,"String, Hash Table, Sliding Window","Hash Table, String, Sliding Window"
31,Next Permutation,next-permutation,Medium,"Array, String, Sorting","Array, Two Pointers"
32,Longest Valid Parentheses,longest-valid-parentheses,Hard,"String, Dynamic Programming, Stack","String, Dynamic Programming, Stack"
33,Search in Rotated Sorted Array,search-in-rotated-sorted-array,Medium,"Array, Binary Search","Array, Binary Search"
34,Find First and Last Position of Element in Sorted Array,find-first-and-last-position-of-element-in-sorted-array,Medium,"Array, Binary Search","Array, Binary Search"
35,Search Insert Position,search-insert-position,Easy,"Array, Binary Search","Array, Binary Search"
36,Valid Sudoku,valid-sudoku,Medium,"Array, Hash Table, Backtracking","Array, Hash Table, Matrix"
37,Sudoku Solver,sudoku-solver,Hard,"Backtracking, Matrix","Array, Hash Table, Backtracking, Matrix"
38,Count and Say,count-and-say,Medium,"String, Recursion",String
39,Combination Sum,combination-sum,Medium,"Backtracking, Enumeration","Array, Backtracking"
40,Combination Sum II,combination-sum-ii,Medium,"Backtracking, Enumeration, Sorting","Array, Backtracking"
41,First Missing Positive,first-missing-positive,Hard,"Array, Hash Table, Sorting","Array, Hash Table"
42,Trapping Rain Water,trapping-rain-water,Hard,"Array, Two Pointers, Dynamic Programming, Stack","Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
43,Multiply Strings,multiply-strings,Medium,"String, Math","Math, String, Simulation"
44,Wildcard Matching,wildcard-matching,Hard,"String, Dynamic Programming","String, Dynamic Programming, Greedy, Recursion"
45,Jump Game II,jump-game-ii,Medium,"Array, Greedy, Dynamic Programming","Array, Dynamic Programming, Greedy"
46,Permutations,permutations,Medium,"Array, Backtracking, Enumeration","Array, Backtracking"
47,Permutations II,permutations-ii,Medium,"Backtracking, Enumeration","Array, Backtracking, Sorting"
48,Rotate Image,rotate-image,Medium,"Matrix, Array","Array, Math, Matrix"
49,Group Anagrams,group-anagrams,Medium,"String, Hash Table","Array, Hash Table, String, Sorting"
50,"Pow(x, n)",powx-n,Medium,"Math, Recursion, Dynamic Programming","Math, Recursion"
51,N-Queens,n-queens,Hard,Backtracking,"Array, Backtracking"
52,N-Queens II,n-queens-ii,Hard,"Backtracking, Recursion",Backtracking
53,Maximum Subarray,maximum-subarray,Medium,"Array, Dynamic Programming, Divide and Conquer","Array, Divide and Conquer, Dynamic Programming"
54,Spiral Matrix,spiral-matrix,Medium,"Matrix, Simulation","Array, Matrix, Simulation"
55,Jump Game,jump-game,Medium,"Array, Greedy, Dynamic Programming","Array, Dynamic Programming, Greedy"
56,Merge Intervals,merge-intervals,Medium,"Array, Sorting, Greedy","Array, Sorting"
57,Insert Interval,insert-interval,Medium,"Array, Interval, Sorting",Array
58,Length of Last Word,length-of-last-word,Easy,String,String
59,Spiral Matrix II,spiral-matrix-ii,Medium,"Matrix, Simulation","Array, Matrix, Simulation"
60,Permutation Sequence,permutation-sequence,Hard,"Backtracking, Enumeration","Math, Recursion"
61,Rotate List,rotate-list,Medium,Linked List,"Linked List, Two Pointers"
62,Unique Paths,unique-paths,Medium,"Dynamic Programming, Matrix","Math, Dynamic Programming, Combinatorics"
63,Unique Paths II,unique-paths-ii,Medium,"Dynamic Programming, Matrix","Array, Dynamic Programming, Matrix"
64,Minimum Path Sum,minimum-path-sum,Medium,"Matrix, Dynamic Programming, Greedy","Array, Dynamic Programming, Matrix"
65,Valid Number,valid-number,Hard,String,String
66,Plus One,plus-one,Easy,"Array, Math","Array, Math"
67,Add Binary,add-binary,Easy,"String, Bit Manipulation","Math, String, Bit Manipulation, Simulation"
68,Text Justification,text-justification,Hard,"String, Greedy","Array, String, Simulation"
69,Sqrt(x),sqrtx,Easy,"Math, Binary Search","Math, Binary Search"
70,Climbing Stairs,climbing-stairs,Easy,"Dynamic Programming, Recursion","Math, Dynamic Programming, Memoization"
71,Simplify Path,simplify-path,Medium,"String, Stack","String, Stack"
72,Edit Distance,edit-distance,Medium,"String, Dynamic Programming","String, Dynamic Programming"
73,Set Matrix Zeroes,set-matrix-zeroes,Medium,"Matrix, Array, Simulation","Array, Hash Table, Matrix"
74,Search a 2D Matrix,search-a-2d-matrix,Medium,"Array, Binary Search, Matrix","Array, Binary Search, Matrix"
75,Sort Colors,sort-colors,Medium,"Array, Sorting, Two Pointers","Array, Two Pointers, Sorting"
76,Minimum Window Substring,minimum-window-substring,Hard,"String, Sliding Window, Hash Table","Hash Table, String, Sliding Window"
77,Combinations,combinations,Medium,"Backtracking, Combinatorics",Backtracking
78,Subsets,subsets,Medium,"Backtracking, Enumeration","Array, Backtracking, Bit Manipulation"
79,Word Search,word-search,Medium,"Backtracking, Depth-First Search","Array, String, Backtracking, Depth-First Search, Matrix"
80,Remove Duplicates from Sorted Array II,remove-duplicates-from-sorted-array-ii,Medium,"Array, Two Pointers","Array, Two Pointers"
81,Search in Rotated Sorted Array II,search-in-rotated-sorted-array-ii,Medium,"Array, Binary Search, Sorting","Array, Binary Search"
82,Remove Duplicates from Sorted List II,remove-duplicates-from-sorted-list-ii,Medium,Linked List,"Linked List, Two Pointers"
83,Remove Duplicates from Sorted List,remove-duplicates-from-sorted-list,Easy,Linked List,Linked List
84,Largest Rectangle in Histogram,largest-rectangle-in-histogram,Hard,"Array, Stack","Array, Stack, Monotonic Stack"
85,Maximal Rectangle,maximal-rectangle,Hard,"Matrix, Dynamic Programming, Stack","Array, Dynamic Programming, Stack, Matrix, Monotonic Stack"
86,Partition List,partition-list,Medium,"Linked List, Two Pointers","Linked List, Two Pointers"
87,Scramble String,scramble-string,Hard,"String, Recursion, Dynamic Programming","String, Dynamic Programming"
88,Merge Sorted Array,merge-sorted-array,Easy,"Array, Sorting","Array, Two Pointers, Sorting"
89,Gray Code,gray-code,Medium,Bit Manipulation,"Math, Backtracking, Bit Manipulation"
90,Subsets II,subsets-ii,Medium,"Backtracking, Enumeration","Array, Backtracking, Bit Manipulation"
91,Decode Ways,decode-ways,Medium,"Dynamic Programming, Recursion","String, Dynamic Programming"
92,Reverse Linked List II,reverse-linked-list-ii,Medium,"Linked List, Recursion",Linked List
93,Restore IP Addresses,restore-ip-addresses,Medium,"String, Backtracking","String, Backtracking"
94,Binary Tree Inorder Traversal,binary-tree-inorder-traversal,Easy,"Binary Tree, Tree, Recursion, Depth-First Search","Stack, Tree, Depth-First Search, Binary Tree"
95,Unique Binary Search Trees II,unique-binary-search-trees-ii,Medium,"Dynamic Programming, Binary Search Tree","Dynamic Programming, Backtracking, Tree, Binary Search Tree, Binary Tree"
96,Unique Binary Search Trees,unique-binary-search-trees,Medium,"Dynamic Programming, Binary Search Tree","Math, Dynamic Programming, Tree, Binary Search Tree, Binary Tree"
97,Interleaving String,interleaving-string,Medium,"String, Dynamic Programming","String, Dynamic Programming"
98,Validate Binary Search Tree,validate-binary-search-tree,Medium,"Binary Tree, Recursion, Depth-First Search","Tree, Depth-First Search, Binary Search Tree, Binary Tree"
99,Recover Binary Search Tree,recover-binary-search-tree,Medium,"Tree, Binary Search Tree, Recursion","Tree, Depth-First Search, Binary Search Tree, Binary Tree"
100,Same Tree,same-tree,Easy,"Tree, Binary Tree","Tree, Depth-First Search, Breadth-First Search, Binary Tree"
101,Symmetric Tree,symmetric-tree,Easy,"Tree, Binary Tree, Depth-First Search","Tree, Depth-First Search, Breadth-First Search, Binary Tree"
102,Binary Tree Level Order Traversal,binary-tree-level-order-traversal,Medium,"Tree, Breadth-First Search, Binary Tree","Tree, Breadth-First Search, Binary Tree"
103,Binary Tree Zigzag Level Order Traversal,binary-tree-zigzag-level-order-traversal,Medium,"Binary Tree, Breadth-First Search","Tree, Breadth-First Search, Binary Tree"
104,Maximum Depth of Binary Tree,maximum-depth-of-binary-tree,Easy,"Binary Tree, Depth-First Search, Recursion","Tree, Depth-First Search, Breadth-First Search, Binary Tree"
105,Construct Binary Tree from Preorder and Inorder Traversal,construct-binary-tree-from-preorder-and-inorder-traversal,Medium,"Binary Tree, Recursion","Array, Hash Table, Divide and Conquer, Tree, Binary Tree"
106,Construct Binary Tree from Inorder and Postorder Traversal,construct-binary-tree-from-inorder-and-postorder-traversal,Medium,"Tree, Binary Tree, Recursion","Array, Hash Table, Divide and Conquer, Tree, Binary Tree"
107,Binary Tree Level Order Traversal II,binary-tree-level-order-traversal-ii,Medium,"Binary Tree, Breadth-First Search, Tree","Tree, Breadth-First Search, Binary Tree"
108,Convert Sorted Array to Binary Search Tree,convert-sorted-array-to-binary-search-tree,Easy,"Binary Tree, Recursion, Divide and Conquer","Array, Divide and Conquer, Tree, Binary Search Tree, Binary Tree"
109,Convert Sorted List to Binary Search Tree,convert-sorted-list-to-binary-search-tree,Medium,"Linked List, Binary Search Tree, Recursion","Linked List, Divide and Conquer, Tree, Binary Search Tree, Binary Tree"
110,Balanced Binary Tree,balanced-binary-tree,Easy,"Tree, Binary Tree, Depth-First Search","Tree, Depth-First Search, Binary Tree"
111,Minimum Depth of Binary Tree,minimum-depth-of-binary-tree,Easy,"Binary Tree, Depth-First Search, Breadth-First Search","Tree, Depth-First Search, Breadth-First Search, Binary Tree"
112,Path Sum,path-sum,Easy,"Tree, Binary Tree, Depth-First Search, Recursion","Tree, Depth-First Search, Breadth-First Search, Binary Tree"
113,Path Sum II,path-sum-ii,Medium,"Tree, Binary Tree, Depth-First Search, Backtracking","Backtracking, Tree, Depth-First Search, Binary Tree"
114,Flatten Binary Tree to Linked List,flatten-binary-tree-to-linked-list,Medium,"Binary Tree, Tree, Recursion","Linked List, Stack, Tree, Depth-First Search, Binary Tree"
115,Distinct Subsequences,distinct-subsequences,Hard,"String, Dynamic Programming","String, Dynamic Programming"
116,Populating Next Right Pointers in Each Node,populating-next-right-pointers-in-each-node,Medium,"Tree, Binary Tree, Depth-First Search, Breadth-First Search","Linked List, Tree, Depth-First Search, Breadth-First Search, Binary Tree"
117,Populating Next Right Pointers in Each Node II,populating-next-right-pointers-in-each-node-ii,Medium,"Tree, Binary Tree, Breadth-First Search","Linked List, Tree, Depth-First Search, Breadth-First Search, Binary Tree"
118,Pascal's Triangle,pascals-triangle,Easy,"Array, Mathematics","Array, Dynamic Programming"
119,Pascal's Triangle II,pascals-triangle-ii,Easy,"Array, Math, Dynamic Programming","Array, Dynamic Programming"
121,Best Time to Buy and Sell Stock,best-time-to-buy-and-sell-stock,Easy,"Array, Dynamic Programming, Greedy","Array, Dynamic Programming"
122,Best Time to Buy and Sell Stock II,best-time-to-buy-and-sell-stock-ii,Medium,"Array, Greedy, Dynamic Programming","Array, Dynamic Programming, Greedy"
123,Best Time to Buy and Sell Stock III,best-time-to-buy-and-sell-stock-iii,Hard,"Dynamic Programming, Greedy","Array, Dynamic Programming"
124,Binary Tree Maximum Path Sum,binary-tree-maximum-path-sum,Hard,"Binary Tree, Dynamic Programming, Recursion","Dynamic Programming, Tree, Depth-First Search, Binary Tree"
125,Valid Palindrome,valid-palindrome,Easy,String,"Two Pointers, String"
126,Word Ladder II,word-ladder-ii,Hard,"String, Breadth-First Search, Backtracking","Hash Table, String, Backtracking, Breadth-First Search"
127,Word Ladder,word-ladder,Hard,"String, Breadth-First Search, Graph","Hash Table, String, Breadth-First Search"
128,Longest Consecutive Sequence,longest-consecutive-sequence,Medium,"Array, Hash Table","Array, Hash Table, Union Find"
129,Sum Root to Leaf Numbers,sum-root-to-leaf-numbers,Medium,"Tree, Depth-First Search, Binary Tree","Tree, Depth-First Search, Binary Tree"
130,Surrounded Regions,surrounded-regions,Medium,"Depth-First Search, Breadth-First Search, Matrix","Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
131,Palindrome Partitioning,palindrome-partitioning,Medium,"String, Backtracking","String, Dynamic Programming, Backtracking"
132,Palindrome Partitioning II,palindrome-partitioning-ii,Hard,"String, Dynamic Programming, Backtracking","String, Dynamic Programming"
133,Clone Graph,clone-graph,Medium,"Graph, Depth-First Search, Breadth-First Search","Hash Table, Depth-First Search, Breadth-First Search, Graph"
134,Gas Station,gas-station,Medium,"Greedy, Array","Array, Greedy"
135,Candy,candy,Hard,"Greedy, Array","Array, Greedy"
136,Single Number,single-number,Easy,"Array, Hash Table","Array, Bit Manipulation"
137,Single Number II,single-number-ii,Medium,"Array, Bit Manipulation","Array, Bit Manipulation"
138,Copy List with Random Pointer,copy-list-with-random-pointer,Medium,"Linked List, Recursion","Hash Table, Linked List"
139,Word Break,word-break,Medium,"String, Dynamic Programming, Backtracking","Array, Hash Table, String, Dynamic Programming, Trie, Memoization"
140,Word Break II,word-break-ii,Hard,"String, Dynamic Programming, Backtracking","Array, Hash Table, String, Dynamic Programming, Backtracking, Trie, Memoization"
141,Linked List Cycle,linked-list-cycle,Easy,"Linked List, Two Pointers","Hash Table, Linked List, Two Pointers"
142,Linked List Cycle II,linked-list-cycle-ii,Medium,"Linked List, Two Pointers","Hash Table, Linked List, Two Pointers"
143,Reorder List,reorder-list,Medium,"Linked List, Two Pointers, Recursion","Linked List, Two Pointers, Stack, Recursion"
144,Binary Tree Preorder Traversal,binary-tree-preorder-traversal,Easy,"Tree, Binary Tree, Depth-First Search","Stack, Tree, Depth-First Search, Binary Tree"
145,Binary Tree Postorder Traversal,binary-tree-postorder-traversal,Easy,"Tree, Binary Tree, Depth-First Search, Recursion","Stack, Tree, Depth-First Search, Binary Tree"
146,LRU Cache,lru-cache,Medium,"Design, Hash Table, Linked List","Hash Table, Linked List, Design, Doubly-Linked List"
147,Insertion Sort List,insertion-sort-list,Medium,"Sorting, Linked List","Linked List, Sorting"
148,Sort List,sort-list,Medium,"Linked List, Sorting, Merge Sort","Linked List, Two Pointers, Divide and Conquer, Sorting, Merge Sort"
149,Max Points on a Line,max-points-on-a-line,Hard,"Geometry, Hash Table, Math","Array, Hash Table, Math, Geometry"
150,Evaluate Reverse Polish Notation,evaluate-reverse-polish-notation,Medium,"Stack, Math, Simulation","Array, Math, Stack"
152,Maximum Product Subarray,maximum-product-subarray,Medium,"Array, Dynamic Programming, Greedy","Array, Dynamic Programming"
153,Find Minimum in Rotated Sorted Array,find-minimum-in-rotated-sorted-array,Medium,"Array, Binary Search","Array, Binary Search"
154,Find Minimum in Rotated Sorted Array II,find-minimum-in-rotated-sorted-array-ii,Hard,"Array, Binary Search","Array, Binary Search"
155,Min Stack,min-stack,Medium,"Stack, Design","Stack, Design"
156,Binary Tree Upside Down,binary-tree-upside-down,Medium,"Binary Tree, Tree, Recursion","Tree, Depth-First Search, Binary Tree"
157,Read N Characters Given Read4,read-n-characters-given-read4,Easy,"String, Simulation","Array, Simulation, Interactive"
158,Read N Characters Given read4 II - Call Multiple Times,read-n-characters-given-read4-ii-call-multiple-times,Hard,"String, Simulation","Array, Simulation, Interactive"
159,Longest Substring with At Most Two Distinct Characters,longest-substring-with-at-most-two-distinct-characters,Medium,"String, Sliding Window","Hash Table, String, Sliding Window"
160,Intersection of Two Linked Lists,intersection-of-two-linked-lists,Easy,Linked List,"Hash Table, Linked List, Two Pointers"
161,One Edit Distance,one-edit-distance,Medium,"String, Dynamic Programming","Two Pointers, String"
162,Find Peak Element,find-peak-element,Medium,"Array, Binary Search","Array, Binary Search"
163,Missing Ranges,missing-ranges,Easy,"Array, Simulation",Array
164,Maximum Gap,maximum-gap,Medium,"Array, Sorting","Array, Sorting, Bucket Sort, Radix Sort"
165,Compare Version Numbers,compare-version-numbers,Medium,String,"Two Pointers, String"
166,Fraction to Recurring Decimal,fraction-to-recurring-decimal,Medium,"Math, String","Hash Table, Math, String"
167,Two Sum II - Input Array Is Sorted,two-sum-ii-input-array-is-sorted,Medium,"Array, Two Pointers","Array, Two Pointers, Binary Search"
168,Excel Sheet Column Title,excel-sheet-column-title,Easy,Math,"Math, String"
169,Majority Element,majority-element,Easy,"Array, Counting","Array, Hash Table, Divide and Conquer, Sorting, Counting"
170,Two Sum III - Data structure design,two-sum-iii-data-structure-design,Easy,"Design, Hash Table","Array, Hash Table, Two Pointers, Design, Data Stream"
171,Excel Sheet Column Number,excel-sheet-column-number,Easy,"String, Math","Math, String"
172,Factorial Trailing Zeroes,factorial-trailing-zeroes,Medium,Math,Math
173,Binary Search Tree Iterator,binary-search-tree-iterator,Medium,"Binary Search Tree, Iterator, Tree","Stack, Tree, Design, Binary Search Tree, Binary Tree, Iterator"
174,Dungeon Game,dungeon-game,Hard,"Dynamic Programming, Recursion","Array, Dynamic Programming, Matrix"
179,Largest Number,largest-number,Medium,"Sorting, Greedy","Array, String, Greedy, Sorting"
186,Reverse Words in a String II,reverse-words-in-a-string-ii,Medium,String,"Two Pointers, String"
187,Repeated DNA Sequences,repeated-dna-sequences,Medium,"String, Hash Table","Hash Table, String, Bit Manipulation, Sliding Window, Rolling Hash, Hash Function"
188,Best Time to Buy and Sell Stock IV,best-time-to-buy-and-sell-stock-iv,Hard,"Dynamic Programming, Array, Greedy","Array, Dynamic Programming"
190,Reverse Bits,reverse-bits,Easy,Bit Manipulation,"Divide and Conquer, Bit Manipulation"
191,Number of 1 Bits,number-of-1-bits,Easy,Bit Manipulation,"Divide and Conquer, Bit Manipulation"
198,House Robber,house-robber,Medium,"Dynamic Programming, Array","Array, Dynamic Programming"
199,Binary Tree Right Side View,binary-tree-right-side-view,Medium,"Binary Tree, Depth-First Search, Breadth-First Search","Tree, Depth-First Search, Breadth-First Search, Binary Tree"
200,Number of Islands,number-of-islands,Medium,"Matrix, Depth-First Search, Breadth-First Search, Graph","Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
201,Bitwise AND of Numbers Range,bitwise-and-of-numbers-range,Medium,Bit Manipulation,Bit Manipulation
202,Happy Number,happy-number,Easy,"Math, Simulation","Hash Table, Math, Two Pointers"
203,Remove Linked List Elements,remove-linked-list-elements,Easy,Linked List,"Linked List, Recursion"
204,Count Primes,count-primes,Medium,"Math, Counting","Array, Math, Enumeration, Number Theory"
205,Isomorphic Strings,isomorphic-strings,Easy,"String, Hash Table","Hash Table, String"
206,Reverse Linked List,reverse-linked-list,Easy,"Linked List, Recursion","Linked List, Recursion"
207,Course Schedule,course-schedule,Medium,"Graph, Topological Sort","Depth-First Search, Breadth-First Search, Graph, Topological Sort"
208,Implement Trie (Prefix Tree),implement-trie-prefix-tree,Medium,"Trie, String, Design","Hash Table, String, Design, Trie"
209,Minimum Size Subarray Sum,minimum-size-subarray-sum,Medium,"Array, Sliding Window","Array, Binary Search, Sliding Window, Prefix Sum"
210,Course Schedule II,course-schedule-ii,Medium,"Graph, Topological Sort","Depth-First Search, Breadth-First Search, Graph, Topological Sort"
211,Design Add and Search Words Data Structure,design-add-and-search-words-data-structure,Medium,"Design, Trie","String, Depth-First Search, Design, Trie"
212,Word Search II,word-search-ii,Hard,"Trie, Backtracking, Depth-First Search, String Matching","Array, String, Backtracking, Trie, Matrix"
213,House Robber II,house-robber-ii,Medium,Dynamic Programming,"Array, Dynamic Programming"
214,Shortest Palindrome,shortest-palindrome,Hard,"String, Dynamic Programming, String Matching","String, Rolling Hash, String Matching, Hash Function"
215,Kth Largest Element in an Array,kth-largest-element-in-an-array,Medium,"Array, Sorting, Heap (Priority Queue)","Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
216,Combination Sum III,combination-sum-iii,Medium,"Backtracking, Enumeration","Array, Backtracking"
217,Contains Duplicate,contains-duplicate,Easy,"Array, Hash Table","Array, Hash Table, Sorting"
218,The Skyline Problem,the-skyline-problem,Hard,"Simulation, Heap (Priority Queue), Binary Search","Array, Divide and Conquer, Binary Indexed Tree, Segment Tree, Line Sweep, Heap (Priority Queue), Ordered Set"
219,Contains Duplicate II,contains-duplicate-ii,Easy,"Array, Hash Table, Sliding Window","Array, Hash Table, Sliding Window"
220,Contains Duplicate III,contains-duplicate-iii,Hard,"Array, Hash Table, Sliding Window","Array, Sliding Window, Sorting, Bucket Sort, Ordered Set"
221,Maximal Square,maximal-square,Medium,"Matrix, Dynamic Programming","Array, Dynamic Programming, Matrix"
222,Count Complete Tree Nodes,count-complete-tree-nodes,Easy,"Tree, Binary Tree","Binary Search, Bit Manipulation, Tree, Binary Tree"
223,Rectangle Area,rectangle-area,Medium,Geometry,"Math, Geometry"
224,Basic Calculator,basic-calculator,Hard,"String, Simulation, Recursion","Math, String, Stack, Recursion"
225,Implement Stack using Queues,implement-stack-using-queues,Easy,"Stack, Queue","Stack, Design, Queue"
226,Invert Binary Tree,invert-binary-tree,Easy,"Binary Tree, Tree, Depth-First Search","Tree, Depth-First Search, Breadth-First Search, Binary Tree"
227,Basic Calculator II,basic-calculator-ii,Medium,"String, Simulation, Math","Math, String, Stack"
228,Summary Ranges,summary-ranges,Easy,"Array, String",Array
229,Majority Element II,majority-element-ii,Medium,Array,"Array, Hash Table, Sorting, Counting"
230,Kth Smallest Element in a BST,kth-smallest-element-in-a-bst,Medium,"Binary Search Tree, Tree, Binary Search","Tree, Depth-First Search, Binary Search Tree, Binary Tree"
231,Power of Two,power-of-two,Easy,Math,"Math, Bit Manipulation, Recursion"
232,Implement Queue using Stacks,implement-queue-using-stacks,Easy,"Stack, Queue","Stack, Design, Queue"
233,Number of Digit One,number-of-digit-one,Hard,"Math, Dynamic Programming","Math, Dynamic Programming, Recursion"
234,Palindrome Linked List,palindrome-linked-list,Easy,"Linked List, Two Pointers, Stack","Linked List, Two Pointers, Stack, Recursion"
235,Lowest Common Ancestor of a Binary Search Tree,lowest-common-ancestor-of-a-binary-search-tree,Medium,"Binary Search Tree, Tree","Tree, Depth-First Search, Binary Search Tree, Binary Tree"
236,Lowest Common Ancestor of a Binary Tree,lowest-common-ancestor-of-a-binary-tree,Medium,"Binary Tree, Tree, Depth-First Search","Tree, Depth-First Search, Binary Tree"
237,Delete Node in a Linked List,delete-node-in-a-linked-list,Medium,Linked List,Linked List
238,Product of Array Except Self,product-of-array-except-self,Medium,"Array, Math","Array, Prefix Sum"
239,Sliding Window Maximum,sliding-window-maximum,Hard,"Array, Sliding Window, Deque","Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
240,Search a 2D Matrix II,search-a-2d-matrix-ii,Medium,"Array, Binary Search, Matrix","Array, Binary Search, Divide and Conquer, Matrix"
241,Different Ways to Add Parentheses,different-ways-to-add-parentheses,Medium,"Recursion, Dynamic Programming, Enumeration","Math, String, Dynamic Programming, Recursion, Memoization"
242,Valid Anagram,valid-anagram,Easy,"String, Hash Table","Hash Table, String, Sorting"
243,Shortest Word Distance,shortest-word-distance,Easy,"String, Hash Table","Array, String"
244,Shortest Word Distance II,shortest-word-distance-ii,Medium,"String, Hash Table","Array, Hash Table, Two Pointers, String, Design"
245,Shortest Word Distance III,shortest-word-distance-iii,Medium,"Array, String, Hash Table","Array, String"
246,Strobogrammatic Number,strobogrammatic-number,Easy,String,"Hash Table, Two Pointers, String"
247,Strobogrammatic Number II,strobogrammatic-number-ii,Medium,"String, Enumeration","Array, String, Recursion"
248,Strobogrammatic Number III,strobogrammatic-number-iii,Hard,"String, Enumeration","Array, String, Recursion"
249,Group Shifted Strings,group-shifted-strings,Medium,"String, Hash Table","Array, Hash Table, String"
250,Count Univalue Subtrees,count-univalue-subtrees,Medium,"Tree, Binary Tree, Recursion","Tree, Depth-First Search, Binary Tree"
251,Flatten 2D Vector,flatten-2d-vector,Medium,"Array, Iterator, Design","Array, Two Pointers, Design, Iterator"
252,Meeting Rooms,meeting-rooms,Easy,"Sorting, Greedy","Array, Sorting"
253,Meeting Rooms II,meeting-rooms-ii,Medium,"Greedy, Sorting, Heap (Priority Queue)","Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
254,Factor Combinations,factor-combinations,Medium,"Backtracking, Enumeration",Backtracking
255,Verify Preorder Sequence in Binary Search Tree,verify-preorder-sequence-in-binary-search-tree,Medium,"Binary Tree, Recursion","Array, Stack, Tree, Binary Search Tree, Recursion, Monotonic Stack, Binary Tree"
256,Paint House,paint-house,Medium,Dynamic Programming,"Array, Dynamic Programming"
257,Binary Tree Paths,binary-tree-paths,Easy,"Tree, Binary Tree, Depth-First Search","String, Backtracking, Tree, Depth-First Search, Binary Tree"
258,Add Digits,add-digits,Easy,Math,"Math, Simulation, Number Theory"
259,3Sum Smaller,3sum-smaller,Medium,"Array, Two Pointers, Sorting","Array, Two Pointers, Binary Search, Sorting"
260,Single Number III,single-number-iii,Medium,"Array, Bit Manipulation","Array, Bit Manipulation"
261,Graph Valid Tree,graph-valid-tree,Medium,"Graph, Union Find, Depth-First Search","Depth-First Search, Breadth-First Search, Union Find, Graph"
263,Ugly Number,ugly-number,Easy,Math,Math
264,Ugly Number II,ugly-number-ii,Medium,"Math, Dynamic Programming, Heap (Priority Queue)","Hash Table, Math, Dynamic Programming, Heap (Priority Queue)"
265,Paint House II,paint-house-ii,Hard,"Dynamic Programming, Array","Array, Dynamic Programming"
